en,review_times,correct_times,avg_correct_rate,avg_elapsed_time,total_elapsed_time
animadvert,1,1,1.0,26.1,26.1
perquisite,1,0,0.0,21.04,21.04
exempt,1,0,0.0,19.72,19.72
free-for-all,1,0,0.0,19.72,19.72
adherent,1,0,0.0,18.79,18.79
rumination,1,1,1.0,17.33,17.33
quandary,1,1,1.0,17.18,17.18
invective,2,1,0.5,16.92,33.84
prominent,1,1,1.0,16.6,16.6
fathom,1,1,1.0,15.14,15.14
didactic,1,1,1.0,14.69,14.69
dismantle,2,2,1.0,14.58,29.160000000000004
prophylactic,1,1,1.0,14.47,14.47
resplendent,1,0,0.0,14.4,14.4
innocuous,2,2,1.0,14.32,28.65
mendacity,2,2,1.0,14.04,28.07
extirpate,1,1,1.0,13.91,13.91
augur,1,0,0.0,13.9,13.9
imitative,1,1,1.0,13.34,13.34
intermittent,1,1,1.0,12.73,12.73
hamstring,1,1,1.0,12.52,12.52
inferable from,1,0,0.0,12.48,12.48
anomalous,1,1,1.0,11.82,11.82
list,1,1,1.0,11.74,11.74
desultory,1,0,0.0,11.32,11.32
privy,1,0,0.0,11.3,11.3
perpetuate,1,1,1.0,11.3,11.3
servile,1,1,1.0,10.79,10.79
penitential,2,0,0.0,10.66,21.32
viable,1,1,1.0,10.59,10.59
incentive,1,1,1.0,10.25,10.25
dissemble,1,1,1.0,10.12,10.12
baffle,1,1,1.0,10.07,10.07
mute,1,1,1.0,9.91,9.91
caviling,1,1,1.0,9.84,9.84
exiguous,1,0,0.0,9.82,9.82
unfathomable,2,2,1.0,9.74,19.48
negligent,1,1,1.0,9.35,9.35
detection,1,1,1.0,9.25,9.25
brandish,1,0,0.0,9.22,9.22
demean,1,1,1.0,9.22,9.22
reminisce,2,2,1.0,9.2,18.39
demarcate,2,2,1.0,9.17,18.34
convert,1,1,1.0,9.04,9.04
respect,1,1,1.0,8.96,8.96
anatomical,1,1,1.0,8.76,8.76
disconsolate,1,1,1.0,8.68,8.68
incorrigible,4,2,0.5,8.65,34.59
aplomb,1,0,0.0,8.6,8.6
precarious,1,1,1.0,8.59,8.59
sedulous,1,1,1.0,8.53,8.53
inhibit,1,1,1.0,8.46,8.46
disparate,2,2,1.0,8.44,16.89
permeate,1,1,1.0,8.21,8.21
overt,1,1,1.0,8.12,8.12
moralistic,1,1,1.0,8.12,8.12
apocryphal,2,1,0.5,8.06,16.13
presume,1,1,1.0,7.98,7.98
imperil,1,0,0.0,7.9,7.9
agenda,1,1,1.0,7.86,7.86
delusive,2,1,0.5,7.81,15.62
discreet,1,1,1.0,7.68,7.68
haphazard,2,2,1.0,7.66,15.31
sift,1,1,1.0,7.58,7.58
flabbergast,1,1,1.0,7.53,7.53
anneal,1,0,0.0,7.49,7.49
ephemeral,1,1,1.0,7.49,7.49
evince,1,0,0.0,7.28,7.28
gregarious,1,0,0.0,7.27,7.27
deprecate,1,1,1.0,7.23,7.23
bearing,1,0,0.0,7.17,7.17
fanfare,1,1,1.0,7.17,7.17
obviate,1,1,1.0,7.14,7.14
gauge,2,0,0.0,7.09,14.170000000000002
savor,1,1,1.0,7.04,7.04
benediction,1,1,1.0,7.03,7.03
agitated,1,1,1.0,6.98,6.98
solicit,2,2,1.0,6.92,13.83
timorous,1,1,1.0,6.87,6.87
clear-cut,1,1,1.0,6.85,6.85
defamatory,2,2,1.0,6.81,13.62
tedious,1,1,1.0,6.78,6.78
amend,1,1,1.0,6.78,6.78
attune,1,1,1.0,6.66,6.66
malinger,1,1,1.0,6.65,6.65
turbulent,1,1,1.0,6.62,6.62
preeminent,1,1,1.0,6.54,6.54
demise,1,1,1.0,6.52,6.52
