,p.1,,p.2,,,,,p.3,,,,,,,,,,,,,,,,,,,,,,,p.7,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
,"acerb-
acid-
acri-
acu-
尖、酸
[hint] acid","act
行動
[hint] activate","aer-
空氣
[hint] air","ag-
ig-
做、動 to act 
[hint] agile","agog-
引導
[hint] pedagogue","agon-
掙扎、打鬥
[hint] agony","agr-
田地、農業
[hint] agriculture","al-
成長
[hint] coalition","ail-
病
[hint] ail","alg-
痛
nostalgia","alien-
疏遠
[hint] alien","alt-
高
[hint] altitude","alter-
altr-
改變、其他
[hint] alter","am-
愛 情愛
[hint] amiable","amble-
ambul-
行走 走來走去
[hint] ambulance","ampl-
大
[hint] ample","ances-
原始的
[hint] ancestor","ang-
痛苦
[hint] angry","angl-
角
[hint] angle","anim-
生命 精神
[hint] animal","ann-
enn-
年
[hint] annual","anthrio-
人
[hint] anthropology","ante-
anti-
先前
[hint] antique","apt-
ept-
eft-
能力
[hint] adept","aqua-
水
[hint] auatium","arbit-
判斷 裁決
[hint] arbitrary","arbor-
樹
[hint] arboreal","arch-
archy-
統治
[hint] hierarchy","ard-
ars-
熱
[hint] arson","arm-
武裝 武器
[hint] army","art-
技巧 藝術
[hint] art","articul-
artic-
清楚地說 speak distinctly
[hint] article","asper-
粗暴
[hint] asperity","aster-
astr-
星星
[hint] astronomy","auc-
aug-
aut-
aux-
增加
[hint] auction","aud-
大膽的
[hint] audacious","avi-
avis-
鳥
[hint] aviation","ban-
禁止
[hint] ban","bar-
棒子 障礙 律師
[hint] barrier","base-
基礎
[hint] abase","bat-
打
[hint] combat","bate-
減少 減弱
[hint] abate","ben-
bene-
bon-
好
[hint] benefit","bell-
戰鬥 戰爭
[hint] rebellious","bell-
美麗的
[hint] belle","bib-
喝
[hint] bibber","biblio-
書
[hint] bibliography","bid-
禁止
[hint] forbid","blanc-
白色
[hint] blank","blis-
幸福 恩典 happiness grace
[hint] bless"
,acerbic,counteract,aerate,agile,agog,agony,agrarian,coalesce,ail,analgesic,alienation,exalt,alternative,amateur,amble,amplify,ancestry,anguish,angular,animadvert,perennial,misanthrope,antecedent,adaptive,aquarious,arbitrary,arboreal,anarchy,ardent,armada,artifice,articulate,asperity,asterisk,augment,audacious,avid,banish,barrage,base,baton,abate,benefactor,ballistics,embellish,imbibe,bibliomania,forbid,blemish,blithe
,exacerbate,enact,aerial,agitated,demagogue,antagonistic,peregrinate,coalition,,nostalgia,inalienable,,altruism,amiable,ambulance,,,,rectangle,animate,,philanthropic,antedate,apt,aqueous,arbitrage,arboretum,hierarchy,arson,armistice,,,exasperate,asteroid,august,,,,barricade,debase,battalion,,beneficent,bellicose,,,bibliography,forbidding,,
,acid,reactant,aeronautics,coagulate,pedagogy,protagonist,,,,,,,,amicable,ambulatory,,,,,animated,,,antiquated,atitude,,arbitrate,,monarch,arsenal,,,,,astronomical,authentic,,,,barrister,,combative,,benign,belligerent,,,,,,
,acrid,reactionary,anaerobic,exigent,pedagogic,,,,,,,,,amity,perambulate,,,,,animation,,,antique,adept,,,,monarchy,,,,,,,authoritative,,,,embargo,,lambaste,,benevolent,hyperbole,,,,,,
,acirmonious,exactitude,,prodigal,pedagogue,,,,,,,,,enmity,preamble,,,,,animosity,,,,deft,,,,patriarchal,,,,,,,auxiliary,,,,,,,,,rebellious,,,,,,
,acrimony,exacting,,reagent,,,,,,,,,,enamored,ramble,,,,,animus,,,,inept,,,,,,,,,,,,,,,,,,,,,,,,,,
,acuity,,,,,,,,,,,,,inimical,scramble,,,,,pusillanimous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,acumen,,,,,,,,,,,,,,shamble,,,,,unanimous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,acute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
