en,review_times,correct_times,avg_correct_rate,avg_elapsed_time,total_elapsed_time
animosity,1,1,1.0,175.14,175.14
insinuate,1,0,0.0,173.95,173.95
implausible,1,1,1.0,148.67,148.67
extrapolate,1,1,1.0,136.01,136.01
spurn,1,0,0.0,123.64,123.64
ingratiate,1,1,1.0,117.39,117.39
remiss,1,0,0.0,85.79,85.79
banish,1,1,1.0,81.32,81.32
overwrought,2,0,0.0,80.02,160.03
trivial,1,1,1.0,77.29,77.29
conceivable,2,2,1.0,71.17,142.34
underline,1,1,1.0,70.52,70.52
belie,1,1,1.0,70.29,70.29
providential,5,3,0.6,69.57,347.84
pliant,1,1,1.0,67.27,67.27
punurious,6,2,0.33,65.42,392.49
allure,1,1,1.0,60.82,60.82
phlegmatic,1,0,0.0,55.11,55.11
secular,3,0,0.0,54.71,164.13
reproof,5,3,0.6,53.09,265.43
impertinent,4,0,0.0,48.22,192.89
fever,1,1,1.0,46.44,46.44
perspicuous,2,1,0.5,46.27,92.54
luxur,7,4,0.57,46.23,323.62
prerogative,1,1,1.0,45.79,45.79
barrier,1,1,1.0,43.87,43.87
momentary,2,1,0.5,36.66,73.31
impeachable,1,1,1.0,36.09,36.09
imperious,1,1,1.0,34.22,34.22
imperious,1,1,1.0,34.22,34.22
numinous,4,1,0.25,33.84,135.38
anonymity,3,3,1.0,33.73,101.2
indemnify,4,3,0.75,33.12,132.48000000000002
portentous,1,1,1.0,32.85,32.85
emanate,6,2,0.33,32.76,196.57
disabuse,6,4,0.67,32.59,195.52
fervent,2,2,1.0,30.04,60.08
camouflage,4,0,0.0,28.22,112.87
imperative,8,5,0.62,27.43,219.45
imperative,8,5,0.62,27.43,219.45
judge,2,2,1.0,27.35,54.7
inspired,1,1,1.0,27.15,27.15
exiguous,1,1,1.0,27.09,27.09
recede,1,1,1.0,27.09,27.09
cens,1,1,1.0,26.99,26.99
peripheral,1,1,1.0,26.91,26.91
prav,1,1,1.0,26.8,26.8
