en,review_times,correct_times,avg_correct_rate,avg_elapsed_time,total_elapsed_time
impetuous,1,1,1.0,83.76,83.76
propriety,2,1,0.5,59.52,119.04
seductive,1,0,0.0,35.08,35.08
moribund,1,0,0.0,31.52,31.52
euphoria,1,0,0.0,31.46,31.46
mot,1,0,0.0,31.33,31.33
dilatory,1,1,1.0,26.78,26.78
dilatory,1,1,1.0,26.78,26.78
peremptory,1,0,0.0,24.98,24.98
intermittent,2,1,0.5,24.5,49.01
remiss,2,1,0.5,23.48,46.97
ordinance,1,0,0.0,22.99,22.99
prudent,1,1,1.0,22.28,22.28
facility,1,0,0.0,22.04,22.04
ordin,2,2,1.0,20.52,41.04
hallmark,1,0,0.0,15.74,15.74
person,3,3,1.0,15.59,46.78
aberrant,1,1,1.0,15.17,15.17
empathy,1,1,1.0,15.16,15.16
fragment,1,1,1.0,14.47,14.47
admonish,1,1,1.0,14.3,14.3
ingenuous,5,4,0.8,14.21,71.03999999999998
transmute,1,0,0.0,14.01,14.01
compendium,1,0,0.0,14.0,14.0
solitary,1,1,1.0,13.84,13.84
impudent,1,0,0.0,13.74,13.74
plenitude,1,0,0.0,13.5,13.5
denigrate,1,1,1.0,13.22,13.22
refulgent,3,1,0.33,12.93,38.8
transplant,1,1,1.0,12.69,12.69
extrapolate,1,0,0.0,12.64,12.64
aphorism,2,1,0.5,12.62,25.25
dormitory,1,1,1.0,12.08,12.08
deference,1,1,1.0,11.9,11.9
munificent,3,3,1.0,11.87,35.61
munificent,3,3,1.0,11.87,35.61
optimal,1,1,1.0,11.78,11.78
legal,2,2,1.0,11.6,23.2
genetic,2,2,1.0,11.5,22.99
"flect, flex",1,1,1.0,11.47,11.47
adjunct,1,0,0.0,11.46,11.46
surmise,1,0,0.0,11.43,11.43
doctrinaire,2,2,1.0,11.32,22.65
monstr,2,1,0.5,11.24,22.47
submission,2,1,0.5,11.14,22.27
"man, main",3,1,0.33,11.13,33.39
demotic,1,0,0.0,11.05,11.05
impartial,2,1,0.5,11.02,22.03
malediction,2,2,1.0,10.92,21.84
derivative,3,3,1.0,10.9,32.69
condolence,3,1,0.33,10.86,32.57
disseminate,4,2,0.5,10.83,43.33
felicitate,4,3,0.75,10.81,43.24
pen,2,2,1.0,10.78,21.56
morph,2,2,1.0,10.66,21.31
delude,2,1,0.5,10.53,21.06
pedantic,3,2,0.67,10.52,31.56
malign,2,2,1.0,10.5,21.0
posit,4,3,0.75,10.47,41.87000000000001
priority,1,1,1.0,10.34,10.34
mute,1,0,0.0,10.28,10.28
saturated,2,1,0.5,10.28,20.56
felicific,3,3,1.0,10.13,30.4
denunciate,1,0,0.0,9.97,9.97
propitious,1,0,0.0,9.96,9.96
due,2,1,0.5,9.88,19.76
due,2,1,0.5,9.88,19.76
demise,2,1,0.5,9.79,19.58
inexorable,2,0,0.0,9.62,19.23
effusive,4,4,1.0,9.52,38.1
ordinary,2,2,1.0,9.51,19.01
noxious,3,3,1.0,9.48,28.44
conflict,1,1,1.0,9.45,9.45
perimeter,1,1,1.0,9.38,9.38
mor,2,1,0.5,9.34,18.68
compatible,3,3,1.0,9.32,27.960000000000004
germinate,1,0,0.0,9.22,9.22
phonetic,2,1,0.5,9.14,18.29
announce,3,3,1.0,9.12,27.36000000000001
repository,2,2,1.0,9.1,18.2
peregrinate,1,1,1.0,8.96,8.96
sediment,6,6,1.0,8.95,53.68
innocuous,2,2,1.0,8.92,17.84
facetious,2,2,1.0,8.86,17.71
punctilious,2,2,1.0,8.8,17.61
complaisant,2,2,1.0,8.79,17.58
platitude,1,1,1.0,8.77,8.77
subservient,3,2,0.67,8.7,26.090000000000003
eradicate,1,1,1.0,8.69,8.69
opportune,1,0,0.0,8.65,8.65
prescription,3,1,0.33,8.54,25.62
immutable,2,2,1.0,8.54,17.09
fallibility,3,3,1.0,8.53,25.6
facile,1,1,1.0,8.47,8.47
del,1,1,1.0,8.4,8.4
peculate,2,0,0.0,8.3,16.6
simultaneous,1,1,1.0,8.26,8.26
preserve,4,4,1.0,8.23,32.919999999999995
lig,4,3,0.75,8.21,32.84
measured,1,0,0.0,8.2,8.2
amenable,1,0,0.0,8.16,8.16
conscientious,5,4,0.8,8.09,40.44
impermanent,1,1,1.0,8.09,8.09
felic,3,3,1.0,8.04,24.11
imperious,5,4,0.8,8.03,40.15
imperious,5,4,0.8,8.03,40.15
servile,3,2,0.67,8.01,24.04
dom,2,2,1.0,8.01,16.01
parity,3,2,0.67,7.99,23.96
fallacious,2,2,1.0,7.99,15.98
mit,3,2,0.67,7.97,23.9
unliterary,2,0,0.0,7.96,15.920000000000002
obsequious,2,0,0.0,7.9,15.8
riveting,1,1,1.0,7.88,7.88
demarcate,1,0,0.0,7.87,7.87
insubordinate,1,0,0.0,7.82,7.82
suspend,1,0,0.0,7.82,7.82
colloquial,1,1,1.0,7.81,7.81
equivocal,1,1,1.0,7.78,7.78
equivocal,1,1,1.0,7.78,7.78
impetus,2,0,0.0,7.73,15.46
mur,4,2,0.5,7.65,30.6
profound,3,3,1.0,7.64,22.93
"fac, fact",2,2,1.0,7.54,15.07
deficient,1,1,1.0,7.52,7.52
mod,1,1,1.0,7.51,7.51
appropriate,3,2,0.67,7.48,22.44
dorm,2,2,1.0,7.45,14.9
inscription,2,1,0.5,7.44,14.89
obsolescent,4,3,0.75,7.43,29.73
impugn,2,1,0.5,7.42,14.83
conjure,3,3,1.0,7.39,22.17
ess,3,2,0.67,7.36,22.08
remonstrance,3,2,0.67,7.32,21.96
prefigure,3,2,0.67,7.3,21.91
pompous,3,1,0.33,7.21,21.64
abdicate,1,1,1.0,7.21,7.21
perfunctory,2,2,1.0,7.2,14.4
sign,4,4,1.0,7.16,28.62
pediatrics,1,0,0.0,7.15,7.15
conscience,4,4,1.0,7.12,28.47
sedulous,2,1,0.5,7.03,14.06
generic,1,1,1.0,7.01,7.01
obligatory,1,0,0.0,6.96,6.96
regimental,2,0,0.0,6.96,13.93
petulant,1,0,0.0,6.93,6.93
inordinate,1,1,1.0,6.93,6.93
ossify,1,1,1.0,6.93,6.93
energize,2,1,0.5,6.91,13.829999999999998
deleterious,2,2,1.0,6.9,13.8
dispensable,1,0,0.0,6.88,6.88
remission,1,0,0.0,6.86,6.86
egalitarian,1,1,1.0,6.8,6.8
