en,review_times,correct_times,avg_correct_rate,avg_elapsed_time,total_elapsed_time
incentive,1,1,1.0,23.86,23.86
acrimonious,4,4,1.0,23.31,93.25
"claim, clam",1,1,1.0,17.3,17.3
rebellious,2,2,1.0,13.86,27.73
accuse,1,1,1.0,13.29,13.29
autocracy,1,1,1.0,13.2,13.2
prodigal,1,1,1.0,12.94,12.94
ample,3,3,1.0,12.77,38.3
susceptible,1,1,1.0,12.04,12.04
resuscitate,1,0,0.0,11.91,11.91
"arch, archy",1,1,1.0,11.31,11.31
reclaim,1,0,0.0,11.19,11.19
aristocrat,1,1,1.0,11.18,11.18
secrete,2,0,0.0,11.11,22.22
animosity,1,1,1.0,10.79,10.79
crit,1,0,0.0,10.27,10.27
crea,1,0,0.0,9.98,9.98
pusillanimous,1,1,1.0,9.66,9.66
excoriate,2,2,1.0,9.6,19.2
anim,1,0,0.0,9.43,9.43
"cant, cent, chant",3,3,1.0,9.22,27.67
cryptic,1,1,1.0,9.04,9.04
concise,1,1,1.0,8.66,8.66
acrimony,3,3,1.0,8.23,24.68
asteroid,4,4,1.0,8.23,32.93000000000001
evade,1,1,1.0,8.22,8.22
idiosyncrasy,2,2,1.0,8.22,16.45
clairvoyance,3,2,0.67,8.21,24.64
acerbic,7,6,0.86,8.18,57.24
cub,2,1,0.5,8.03,16.060000000000002
incipient,1,0,0.0,7.95,7.95
"cracy, crat",1,1,1.0,7.9,7.9
deceive,2,2,1.0,7.88,15.76
discrepancy,2,2,1.0,7.82,15.63
disinclination,1,1,1.0,7.77,7.77
anthropology,1,1,1.0,7.76,7.76
incense,4,4,1.0,7.54,30.15
ances,2,0,0.0,7.4,14.79
credulous,2,2,1.0,7.38,14.760000000000002
cynical,2,2,1.0,7.26,14.51
concede,3,3,1.0,7.23,21.69
aqueous,1,1,1.0,7.02,7.02
alienation,2,2,1.0,6.89,13.78
accrue,1,1,1.0,6.83,6.83
amity,1,0,0.0,6.76,6.76
blis,3,3,1.0,6.76,20.29
pot,1,1,1.0,6.69,6.69
recant,4,4,1.0,6.57,26.29
activate,2,2,1.0,6.44,12.89
agon,2,2,1.0,6.34,12.69
caustic,1,1,1.0,6.26,6.26
"cur, cour",2,2,1.0,6.25,12.5
forbid,2,2,1.0,6.24,12.49
incumbent,2,1,0.5,6.22,12.43
annual,1,1,1.0,6.22,6.22
alg,2,1,0.5,6.21,12.42
peregrinate,1,1,1.0,6.19,6.19
antiquated,2,2,1.0,6.18,12.35
critical,2,2,1.0,6.17,12.34
coalesce,1,1,1.0,6.15,6.15
incessant,3,3,1.0,6.15,18.44
eccentric,1,1,1.0,6.14,6.14
chronic,1,1,1.0,6.13,6.13
cens,2,0,0.0,6.12,12.25
authentic,3,3,1.0,6.11,18.32
cinct,2,1,0.5,6.08,12.15
encyclopedic,1,1,1.0,6.02,6.02
arbitrary,1,1,1.0,6.01,6.01
capture,1,1,1.0,6.01,6.01
"articul, artic",1,1,1.0,5.98,5.98
supercilious,3,3,1.0,5.95,17.849999999999994
pediatrics,1,0,0.0,5.94,5.94
agriculture,2,2,1.0,5.94,11.87
bate,4,4,1.0,5.89,23.54000000000001
condemn,1,1,1.0,5.87,5.87
"ante, anti",1,1,1.0,5.83,5.83
perceptive,2,2,1.0,5.82,11.63
arbit,3,1,0.33,5.8,17.41
decadence,1,1,1.0,5.78,5.78
"clud, clus, claus",2,2,1.0,5.77,11.54
"cal, chal",1,1,1.0,5.74,5.74
incinerate,3,2,0.67,5.7,17.09
bombastic,1,1,1.0,5.68,5.68
proclaim,4,3,0.75,5.67,22.67
alternative,1,1,1.0,5.52,5.52
clin,2,1,0.5,5.51,11.010000000000002
hierarchy,1,1,1.0,5.44,5.44
embellish,1,1,1.0,5.42,5.42
insouciance,4,4,1.0,5.38,21.53
exacerbate,2,2,1.0,5.36,10.71
sanctimonious,1,1,1.0,5.36,5.36
"cre, crue",1,1,1.0,5.32,5.32
egocentric,2,2,1.0,5.3,10.61
