anomalous - adj. 不規則的, 反常的
innocuous - adj. (行為、言論)無害的
specious - adj. 似是而非的；華而不實的
rationale - n. 根本的原因；基本原理
champion - (v)為...而戰；支持；捍衛；(n)鬥士
esoteric - adj. 圈內人才明白的、神秘難懂的
repudiate - v. 否認、拒絕、拋棄
exacerbate - vt. 惡化、加重
orthodox - adj. 正統的、傳統的、習俗的、通常的
obfuscate - v. 使困惑、使迷糊
conjecture - v. 推測、臆測
condemn - v. 譴責
ameliorate - v. 改善, 改進; 減緩（疼痛）
vitiate - v. 削弱、破壞、損害
disparate - a. 不同的；異類的
trepidation - n. 恐懼、惶恐
fastidious - adj. 挑剔的、過分講究的
ostensible - adj. 外表的、假裝的
idiosyncratic - adj. 古怪的；有怪癖的
eclectic - adj. 折衷的、綜合性的
abstrue - adj. 深奧的、難懂的
veritable - (adj)確實的、名副其實的
whimsical - adj. 反復無常的, 古怪的
solicit - v. 請求、懇求、招攬
recondite - adj. 深奧的(隱藏起來不外露)
ingenuous - adj. 純樸的、單純的
elude - v. 逃避、躲避
magnanimous - (adj) 寬大的、有雅量的
transcendent - adj. 超越的、卓越的；超驗的
circumspect - adj. 慎重的、謹慎小心的
extravagant - adj. 奢侈的、揮霍的；誇大的
verbose - adj. 囉嗦的、冗長的
abridge - v. 刪減；縮短
lugubrious - adj. 哀傷的；憂鬱的
substantiate - v. 證實
prodigal - adj. 非常浪費的、揮霍的
reconcile - (v) 和解、調和
excoriate - (v) 痛責、剝(皮)
conformity - n. 一致、遵從、順從
germane - (adj) 有密切關係的、貼切的
nuance - n. 細微差別
condescending - adj. 屈尊的、恩賜的、屈尊的
subside - (v) 下陷、平息；退去
protend - (v)預示、預兆警告
disinterested - adj. 無私的
fathom - n. 噚(水深單位)、理解、了解原因
unfathomable - (a.) 難以理解的,深不可測的
flout - v. 藐視、輕蔑、嘲笑
frugal - (a.) 節儉的,樸素的
parsimonious - adj.吝嗇的、過於儉省的
lethargic - adj. 瞌睡的、愛睡的
spurious - adj. 假的、站不住腳的、欺騙性的
exigent - (adj) 緊急的、要求多的
diffuse - v. 四散、擴散 adj. 雜亂的
compatible - adj. 和諧共處的、相容的
apprehend - (v) 理解；逮捕；恐懼
conscientious - (adj) 盡責的、小心謹慎的
conspicuous - adj. 顯眼的，明顯的
inadvertent - (adj) 不注意的、怠慢的
bouyant - adj. 有浮力的; 看漲的、繁榮的
fickle - adj. 易變的、無常的
loath - adj. 不願意的；不情願的
opprobrium - v. 辱罵
pretentious - (a.) 自命不凡的、矯揉造作的
restive - adj. 不安寧的、焦躁不安的
undercut - v. 削弱；削價競爭、低薪搶工作
embellish - (v) 美化、裝飾
captious - adj. 吹毛求疵的
feckless - adj. 無效的、無能的
mandate - (n) 命令、指令；授權
mendacious - adj. 虛偽的、說謊的
impassioned - adj. 充滿激情的，慷慨激昂的，熱烈的
implacable - adj. 不能安撫的，難和解的
schism - n. 分裂
consensus - n. (意見等) 一致
insipid - adj. 沒味道的、清淡的、乏味的
detached - adj. 分開的,超然的,不受影響的
intimidate - vt. 威嚇;脅迫
evanescent - adj. 逐漸消失的、短暫的
vapid - adj. 無味的、走了味的；乏味的
virtuosity - n. 精湛的技巧、高潮
artful - adj. 巧妙的, 狡猾的；技巧高超的
austere - adj. 嚴厲的、簡樸的
banal - (a.) 平凡的,陳腐的
bland - adj. 無味的、溫和的、和藹的
downplay - v. 將...輕描淡寫
embody - v. 具體實現、體現
fabricate - v. 偽造；杜撰
formidable - adj. 令人敬畏的, 可怕的
lament - v. 抱怨、哀悼、悲嘆
indulgent - adj. 縱容的；溺愛的
oblivious - adj. 未察覺的、健忘的
provincial - a. 省的；偏狹的
quixotic - adj. 不切實際的、空想的
stymie - n. 阻礙、妨礙
unctuous - adj. 假殷勤的、滑腔油調的
elicit - v. 引出、誘出
conciliatory - adj. 撫慰的, 調和的
aristocrat - n. 貴族
discrepancy - v. 不同、矛盾
discrete - (adj) 個別的、不連續的
discretion - (n) 謹慎、斟酌
condone - v. 原諒、寬恕
aberrant - a. 越軌的；異常的；偏差的
efficacious - a. 有效的；靈驗的
fidelity - n. 忠實；忠誠
profligate - adj. 非常浪費的
discomfit - v. 使窘迫、使尷尬
haphazard - adj. 無計畫的、任意的、偶然的
imperative - (adj) 必要的、緊急的、極重要的
proliferate - (v) 繁殖、激增
luxuriant - (adj) 繁茂的、肥沃的
amorphous - adj. 無定形的、不清楚的、無組織的
demur - (v) 表示異議、反對
negate - v. 取消、否認
pejorative - adj. 貶抑的、輕蔑的
deprecate - (v) 不贊同、反對；輕視
ascendancy - n. 優勢的、統治權、支配力量
proscribe - (v) 禁止、剝奪..的公權、放逐
obsequious - adj. 逢迎的、諂媚的
obsolete - adj. 廢棄的、淘汰的、過時的
constant - adj. 固定的、不變的、持續很久的
obstinate - (adj) 固執的、倔強的；難以改變的
presumptuous - (adj) 專橫的、自以為是的
pertain - n. 屬於、關於
temporal - (adj) 時間的、世俗的
epitome - n. 典型、摘要
treacherous - adj. 危險的、背叛的、不可靠的
vindicate - v. 為...平反、證明...正確
abet - v. 教唆、唆使、煽動
antidote - n. 矯正方法；解毒劑
debunk - vt. 揭穿, 拆穿假面具
feign - v. 假裝
forage - v./n. 糧草、搜尋、掠奪
futile - adj. 無益的、無用的
mercurial - adj. 反覆無常的
override - v. 否決、不顧、使無效
plaintive - adj. 悲傷的、哀傷的
redeem - v. 贖回
savor - v. 細細品嚐 n. 風味
scruple - n. 謹慎小心、顧忌猶豫
tedious - adj. 冗長乏味的; 使人厭煩的
unanimous - adj. 全體一致的
abate - (v) 減輕、減少
hyperbole - n. 誇張(法)
cavalier - n. 騎士、武士 adj. 滿不在乎的；目空一切的
supercilious - adj. 目中無人的、高傲的
precipitate - v. 降水、加速 adj. 魯莽的
clairvoyance - n. 超人的洞察力；先見之明
irreconcilable - (adj) 不能調和的、矛盾的
discursive - adj. 散漫的、無層次的、東拉西扯的
subdue - v. 征服、壓制、減輕
erratic - adj. 飄忽不定的；反覆無常的，古怪的
prolix - adj. 囉嗦的、冗長的
communal - adj. 全體共有的、共享的
exonerate - v. 免除責任、宣布無罪
synoptic - adj. 概要的
parody - n. 模仿性嘲弄文章或表演；拙劣的模仿
peripatetic - adj. 到處走的、流動的
dispel - v. 驅散、消除
euphoria - n. 心情愉快、興奮
placid - adj. 安靜的、平和的
platitude - n. 平凡、陳腔濫調
proprietary - adj. 私有的
repugnant - adj. 對立的；厭惡的、反感的
acquiescence - n. 默許、默認
riveting - aj. 有吸引力的、引人入勝的
surrogate - n. 代替品、代理人
sacrosanct - adj. 神聖不可侵犯的
dissipate - v. 使驅散、浪費
somnolent - adj. 想睡的、催眠的
soporific - adj./n. 令人想睡的
speculative - adj. 投機的、思索的、推測的
aspersion - n. 誹謗、中傷
abstain - v. 禁絕，放棄
tenacious - adj. 堅持的、頑強的、固執的
intransigent - adj. 不妥協的、不讓步的
vacuous - adj. 發呆的、愚笨的；空洞的；空虛的
veracious - adj. 誠實的、真實的
verisimilitude - n. 逼真
avert - v. 避免、防止、避開
disseminate - v. 散布、傳播
albeit - adv. 儘管
ascetic - adj. 禁慾主義者、苦行者
berate - v. 痛罵、訓斥
coerce - vt. 強制, 強迫
cogent - adj. 令人信服的、有說服力的
dabble - v. 涉獵；淺嘗
decimate - v. 大量毀壞
defy - v. 反抗、藐視、違抗
encomium - n. 誇獎、讚揚
espouse - v. 支持、擁護
fleeting - adj. 短暫的；飛逝的
fortuitous - adj. 偶然的；幸運的
latent - adj. 潛伏的、潛在的
parochial - adj. 狹隘的、地方性的
rarified - adj. 只有一小群人知道的、稀薄的
scathing - adj. 刻薄的、嚴厲的
snobbery - n. 勢利
spurn - v. 屏棄、藐視
substantial - adj. 大量的、實在的
tyranny - n. 暴政、專利
universality - n. 普遍性
wane - v. 虧缺、摔落、消失
agitated - adj. 激動的、不安的
peregrinate - n. 遊歷、旅行
amiable - adj. 親切的、和藹的
animadvert - v. 批評、非難
antiquated - adj. 過時的、陳舊的、老式的
banish - vt. 驅逐、放逐；驅逐出境
base - n. 基礎; adj. 卑賤的、低劣的
bombastic - adj. 誇誇其談的
recalcitrant - adj. 頑抗的、難以控制的
incessant - adj. 不停地、連續的、連續不斷的
susceptible - adj. 易受影響的、易被感動的
exorcise - v. 驅魔；去除(壞念頭等)
insouciance - n. 無憂無慮、不注意、不在乎
autocracy - n. 獨裁政府
indiscriminate - adj. 不加區別的、無差別的、不分皂白的
incubate - v. 孵卵、孵化
covet - v. 貪求、覬覦
decorum - n. 端莊、彬彬有禮、合宜
obdurate - adj. 固執的、頑固的；頑抗的、抵抗的
inert - adj. 惰性的、行動遲鈍的
quintessential - adj. 精髓的、典型的
pitfall - n. 陷阱、圈套
forfeit - v. 喪失、被罰沒收；作廢
infelicitous - adj. 不幸的、不適當的
diffident - adj. 缺乏自信的、懦怯的、羞怯的
figurative - adj. 比喻的、象徵的
flamboyant - adj. 艷麗的、炫耀的
fractious - adj. (脾氣)易怒的、好爭吵的
refractory - adj. 難醫治的、倔強的、反應遲鈍的
fraudulent - adj. 欺騙的、不誠實的
effrontery - n. 厚顏無恥、魯莽
fulminate - v. 大聲斥責
effusive - adj. 熱情的、感情洋溢的
infuse - v. 灌輸；注入
generic - adj. 通稱的、種類的
ingrain - v. 使根深蒂固
aggravate - v. 加重、惡化
coherent - adj. 一致的、協調的；連貫的；邏輯通順的
hortative - adj. 勸告的、獎勵的
disjunctive - adj. 分離的、相反的
abjure - v. 發誓放棄;棄絕
allegiance - n. 忠誠、忠貞
apologist - n. 辯護者、護教論者
ludicrous - adj. 滑稽的、荒唐可笑的
malevolent - adj. 有惡意的、惡毒的
premeditate - v. 預先考慮、預謀
commensurate - adj. 同樣大小的、相稱的
mire - n. 泥淖、污泥 v. 使陷入困境
mordant - adj. 諷刺的、尖酸的
negligent - adj. 疏忽的、粗心的
negligible - adj. 可以忽略的、微不足道的
denigrate - v. 污衊、誹謗
pernicious - adj. 有害的；致命的
annihilate - v. 殲滅、消滅、徹底擊潰、毀滅
ominous - adj. 兇兆的、不祥的
opulent - adj. 豐饒的、華麗的、奢侈的
inexorable - adj. 不為所動的、堅決不變的
compendium - n. 簡要、概略
pensive - adj. 沉思的、愁眉苦臉的
placate - v. 撫慰、平息；緩和；妥協讓步
subordinate - adj. 次要的、下級的
v. 使服從、使列入下級
supplant - v. 排擠，取代
compliance - n. 順從、遵從
extrapolate - v. 推斷
ponderous - adj. 笨重的、笨拙的
purport - v. 聲稱 n. 意旨
potent - adj. 強而有力的、有影響力的
probity - n. 誠實、廉潔
apropos - adj. 適當的、切題的、中肯的
appropriate - v. 挪用、盜用
